date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:42	86835/86835	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:56%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-actions.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-actions.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:44	74531/74531	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.alerts.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.alerts.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:46	67049/67049	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:51%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.badges.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.badges.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:48	67307/67307	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:47%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.buttons.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.buttons.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:50	65216/65216	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.colors.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.colors.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:54	76983/76983	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:59%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.list-groups.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.list-groups.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:56	410396/410396	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:58%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.icons.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.icons.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:56	72819/72819	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:00%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.progress-bars.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.progress-bars.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:58	67843/67843	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:54%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.preloaders.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.preloaders.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:00	78957/78957	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.typography.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/ui.typography.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:02	68924/68924	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:54%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.carousels.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.carousels.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:04	86187/86187	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:49%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.tabs-pills.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.tabs-pills.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:06	89990/89990	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.dropdowns.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.dropdowns.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:08	93568/93568	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:50%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.modals.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.modals.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:10	66134/66134	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:48%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.sweetalert2.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.sweetalert2.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:12	75800/75800	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.scrollable.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.scrollable.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:14	64988/64988	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.tooltips-popovers.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.tooltips-popovers.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:16	60013/60013	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:52%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.ui-blocking.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/components.ui-blocking.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:18	61544/61544	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:51%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.chartjs.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.chartjs.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:20	63371/63371	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:47%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.c3charts.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.c3charts.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:22	62425/62425	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:50%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.morrisjs.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.morrisjs.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:24	63896/63896	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:00%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.chartist.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/charts.chartist.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:26	68827/68827	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:00%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.basic-inputs.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.basic-inputs.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:28	75782/75782	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:52%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.checkbox-radio.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.checkbox-radio.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:30	75698/75698	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:47%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.input-groups.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.input-groups.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:32	74818/74818	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:58%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.form-groups.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.form-groups.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:34	67408/67408	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:54%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.form-grid.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.form-grid.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:36	66426/66426	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:59%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.input-mask.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.input-mask.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:38	78338/78338	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.select2.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.select2.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:40	64760/64760	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:51%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.range-sliders.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.range-sliders.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:42	67141/67141	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.switches.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.switches.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:44	64546/64546	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.date-pickers.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.date-pickers.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:46	62317/62317	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.dropzone.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.dropzone.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:48	71253/71253	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:47%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.wysiwyg.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.wysiwyg.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:50	66102/66102	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:48%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.basic-validation.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.basic-validation.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:52	71489/71489	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:58%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.jquery-validation.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.jquery-validation.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:54	62846/62846	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:57%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.vertical-wizard.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.vertical-wizard.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:56	62830/62830	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:49%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.horizontal-wizard.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/forms.horizontal-wizard.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:31:58	74623/74623	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:54%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/tables.basic.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/tables.basic.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:00	74424/74424	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:51%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/tables.data.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/tables.data.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:02	89562/89562	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:00%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.mail.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.mail.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:04	76286/76286	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:57%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.messages.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.messages.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:06	93853/93853	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:48%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.contacts.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.contacts.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:08	73803/73803	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:50%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.calendar.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/apps.calendar.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:10	4234/4234	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:58%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/auth.sign-in.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/auth.sign-in.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:32:10	4621/4621	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:57%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/auth.register.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/auth.register.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
